source_city,destination_city,transport_mode,distance_km,shipment_weight_kg,traffic_level,weather_condition,departure_hour,day_of_week,month,transfer_count,historical_delay_rate,actual_delivery_hours
Delhi,Kochi,AIR,2079.7,50000.0,LOW,CLEAR,6,6,2,0,0.0817,55.38
Kochi,Nagpur,AIR,1283.0,71.7,HIGH,RAIN,8,5,2,0,0.0854,3.07
Nagpur,Coimbatore,ROAD,1149.0,2526.2,MEDIUM,CLEAR,17,5,6,0,0.0185,34.12
Jaipur,Guwahati,ROAD,1588.0,125.2,MEDIUM,RAIN,10,0,9,0,0.096,36.9
Jaipur,Patna,ROAD,943.7,1830.1,MEDIUM,CLEAR,13,5,11,0,0.1792,24.55
Bhubaneswar,Ahmedabad,ROAD,1402.2,855.7,LOW,CLEAR,7,3,12,0,0.0467,29.86
Delhi,Bhopal,ROAD,595.7,1281.4,MEDIUM,CLEAR,7,6,6,0,0.2859,18.24
Nagpur,Jaipur,ROAD,723.5,367.2,LOW,STORM,15,4,11,2,0.2167,23.66
Kolkata,Indore,AIR,1283.1,2798.0,LOW,CLEAR,6,5,6,1,0.0612,8.97
Delhi,Visakhapatnam,ROAD,1360.9,192.9,LOW,RAIN,16,2,6,1,0.1592,28.01
Surat,Ahmedabad,AIR,207.7,4865.7,LOW,RAIN,11,1,3,0,0.1174,5.39
Guwahati,Surat,RAIL,2001.1,671.1,MEDIUM,SNOW,16,5,8,2,0.1147,44.1
Patna,Mumbai,RAIL,1453.2,203.7,LOW,CLEAR,10,0,4,0,0.168,17.81
Kochi,Patna,RAIL,1976.9,7434.8,LOW,RAIN,18,4,6,2,0.0324,45.43
Patna,Lucknow,ROAD,440.7,1011.5,HIGH,STORM,3,6,12,0,0.0646,21.68
Kochi,Lucknow,RAIL,1944.0,10820.1,HIGH,CLEAR,19,6,7,2,0.0449,61.02
Surat,Kolkata,ROAD,1609.7,4748.7,MEDIUM,CLEAR,8,5,4,0,0.0522,49.0
Bengaluru,Bhopal,AIR,1144.2,420.8,MEDIUM,SNOW,2,3,9,2,0.1966,9.14
Visakhapatnam,Patna,ROAD,901.3,990.3,MEDIUM,CLEAR,14,5,9,0,0.2988,23.79
Lucknow,Pune,ROAD,1176.7,1268.1,LOW,CLEAR,8,0,8,2,0.1953,32.12
Surat,Bengaluru,RAIL,1042.5,6847.0,MEDIUM,CLEAR,12,5,1,1,0.2954,26.78
Ahmedabad,Chennai,RAIL,1371.8,1853.9,LOW,SNOW,17,1,3,0,0.1731,23.58
Chennai,Ahmedabad,ROAD,1371.8,1355.0,MEDIUM,STORM,17,5,2,1,0.085,57.67
Coimbatore,Indore,RAIL,1306.5,862.8,HIGH,RAIN,14,2,12,0,0.2617,25.96
